ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
474,474,474,0.8323054909706116,0.011654268950223923,0.8098046183586121,0.008403908461332321
518,518,518,0.8215419054031372,0.01946455053985119,0.7903691530227661,0.02000311017036438
144,144,144,0.869255781173706,0.0018269779393449426,0.7761040329933167,0.003026902675628662
127,127,127,0.8730115294456482,0.02301485277712345,0.7829720973968506,0.022274687886238098
240,241,241,0.717759907245636,0.12722232937812805,0.6861432790756226,0.14460960030555725
548,548,548,0.8764590620994568,0.020713647827506065,0.7190618515014648,0.023079996928572655
25,25,25,0.8752612471580505,0.007164810784161091,0.6538321375846863,0.011905447579920292
25,25,25,0.8851734399795532,0.009420531801879406,0.8153219819068909,0.01057298295199871
354,354,354,0.8115396499633789,0.0013633056078106165,0.7170549035072327,0.0018679307540878654
960,960,927,0.3567308187484741,0.3412037193775177,0.3129049837589264,0.21263284981250763
504,504,868,0.3219500780105591,0.3002818524837494,0.23406386375427246,0.14221273362636566
518,518,518,0.9386144876480103,0.0019460408948361874,0.8825024962425232,0.003375106491148472
767,767,767,0.6890888810157776,0.030128560960292816,0.5958240032196045,0.036457594484090805
97,97,97,0.9129092693328857,0.0012584864161908627,0.849473774433136,0.0016601397655904293
972,979,979,0.3276764750480652,0.15166018903255463,0.25794631242752075,0.13383488357067108
223,223,223,0.8711134195327759,0.00282293907366693,0.4661688506603241,0.00306533626280725
495,495,495,0.8457623720169067,0.005320154596120119,0.734934389591217,0.006663626525551081
151,151,151,0.5842877626419067,0.18916550278663635,0.3052815794944763,0.10650420933961868
663,884,884,0.48405715823173523,0.16951629519462585,0.32998356223106384,0.13795627653598785
380,380,382,0.4216424226760864,0.41294682025909424,0.3708436191082001,0.35370931029319763
99,99,99,0.8559623956680298,0.003212936921045184,0.7436503767967224,0.003950291778892279
769,769,769,0.8618610501289368,0.003937543835490942,0.8089779615402222,0.0038552277255803347
248,248,248,0.6505593061447144,0.16485406458377838,0.5031094551086426,0.19257403910160065
1,1,1,0.8543701767921448,0.0010775841074064374,0.7178716063499451,0.0017488094745203853
901,901,901,0.9330412149429321,0.0007594271446578205,0.844537615776062,0.001353832078166306
14,14,14,0.8828787803649902,0.0005684958887286484,0.783461332321167,0.0009613372385501862
520,520,520,0.9127999544143677,0.01851649582386017,0.6863253116607666,0.024471694603562355
292,292,292,0.8094538450241089,0.058980293571949005,0.25057363510131836,0.0385017991065979
962,962,962,0.8581233620643616,0.027658483013510704,0.7391417622566223,0.038736529648303986
882,882,882,0.8676154613494873,0.004449271131306887,0.7452429533004761,0.005988385993987322
191,191,191,0.9228309392929077,0.006796829868108034,0.6167994737625122,0.009812365286052227
914,914,914,0.6021814942359924,0.2359895408153534,0.2055746167898178,0.08479326963424683
