ground_truth,prediction_without_fault,prediction_with_fault,top1_wo_fault,top2_wo_fault,top1_w_fault,top2_w_fault
601,601,668,0.2899603545665741,0.1537892073392868,0.10596634447574615,0.03613410145044327
301,301,301,0.5488002300262451,0.236097052693367,0.7076411843299866,0.0985654667019844
697,697,697,0.9155539870262146,0.002135750139132142,0.7845380306243896,0.004315846133977175
276,276,276,0.880966067314148,0.01496218889951706,0.8571157455444336,0.016202619299292564
832,832,832,0.9475931525230408,0.0005018885130994022,0.9485243558883667,0.0021360041573643684
29,29,29,0.8342031240463257,0.04865330085158348,0.6409586668014526,0.12108513712882996
781,781,781,0.8211379051208496,0.000999775598756969,0.7440659999847412,0.0024698611814528704
167,167,167,0.2559642195701599,0.22301839292049408,0.26445409655570984,0.22087067365646362
785,691,691,0.3916568160057068,0.12181296199560165,0.3115294277667999,0.12975801527500153
40,40,40,0.7953335642814636,0.124937042593956,0.7727961540222168,0.14576099812984467
858,858,858,0.8632186651229858,0.05996114760637283,0.795964241027832,0.14352922141551971
734,734,734,0.8282778263092041,0.007822313345968723,0.7382303476333618,0.016529150307178497
243,243,243,0.9168877601623535,0.010658829472959042,0.9015905857086182,0.01904306374490261
445,445,445,0.9441221356391907,0.012289716862142086,0.9593358039855957,0.01501569151878357
229,229,229,0.839118242263794,0.015097164548933506,0.7884275317192078,0.011820165440440178
479,479,479,0.8708006143569946,0.003950734157115221,0.8043563365936279,0.009023793041706085
876,896,896,0.4123970866203308,0.3036855459213257,0.39129936695098877,0.2883527874946594
410,410,410,0.8912512063980103,0.03058495931327343,0.8037640452384949,0.03687850385904312
309,309,309,0.8106489777565002,0.1092948243021965,0.85094153881073,0.057950690388679504
630,630,630,0.9402448534965515,0.003509662114083767,0.9347696900367737,0.004514483734965324
856,595,595,0.887397825717926,0.016820093616843224,0.8682128190994263,0.02092144452035427
514,514,514,0.880226731300354,0.0027068518102169037,0.8211549520492554,0.004410841502249241
600,730,730,0.6320549249649048,0.13037991523742676,0.5417792797088623,0.11002401262521744
478,478,478,0.3840913772583008,0.09264121949672699,0.5444748401641846,0.08235814422369003
855,855,855,0.8886550068855286,0.0012821574928238988,0.0808882936835289,0.01730477809906006
485,485,485,0.41895270347595215,0.1886264681816101,0.25928667187690735,0.17828603088855743
867,867,867,0.8641835451126099,0.041565511375665665,0.9195995330810547,0.01917230524122715
777,777,777,0.8919357061386108,0.00781484879553318,0.8490992188453674,0.009636159054934978
527,527,527,0.5158849358558655,0.1256776601076126,0.40714117884635925,0.1251811534166336
74,74,74,0.6798657774925232,0.13619591295719147,0.6808545589447021,0.11824698746204376
889,889,889,0.8114056587219238,0.08001713454723358,0.6661978960037231,0.1468619853258133
128,128,128,0.7598193883895874,0.019217802211642265,0.6888502240180969,0.02781066671013832
